Time, consumer_reader_ch1, consumer_reader_ch2, producer_writer_ch1, producer_writer_ch2
0.1896, -1871067031, 0, 0, 0
0.3588, -1871067031, 0, 86, 0
0.3649, -1871067031, 0, 86, 0
0.4572, -1871067031, 0, 86, 77
0.4934, 86, 0, 86, 77
0.5359, 86, 0, 86, 77
0.5485, 86, 77, 86, 77
0.6483, 86, 77, 86, 77
0.6676, 86, 77, 86, 77
0.7408, 86, 77, 15, 77
0.7520, 86, 77, 15, 77
0.7861, 15, 77, 15, 77
0.7987, 15, 77, 15, 93
0.8237, 15, 77, 15, 93
0.8331, 15, 93, 15, 93
0.8957, 15, 93, 15, 93
0.9350, 15, 93, 15, 93
0.9795, 15, 93, 35, 93
0.9905, 15, 93, 35, 93
1.0154, 35, 93, 35, 93
1.0346, 35, 93, 35, 86
1.0536, 35, 93, 35, 86
1.0630, 35, 86, 35, 86
1.1276, 35, 86, 35, 86
1.1486, 35, 86, 35, 86
1.2134, 35, 86, 92, 86
1.2235, 35, 86, 92, 86
1.2498, 92, 86, 92, 86
1.2709, 92, 86, 92, 49
1.2878, 92, 86, 92, 49
1.2923, 92, 49, 92, 49
1.3453, 92, 49, 92, 49
1.3658, 92, 49, 92, 49
1.4310, 92, 49, 21, 49
1.4402, 92, 49, 21, 49
1.4959, 21, 49, 21, 49
1.4983, 21, 49, 21, 62
1.5367, 21, 49, 21, 62
1.5480, 21, 62, 21, 62
1.6316, 21, 62, 21, 62
1.6378, 21, 62, 21, 62
1.7417, 21, 62, 27, 62
1.7511, 21, 62, 27, 62
1.7989, 27, 62, 27, 62
1.8030, 27, 62, 27, 90
1.8381, 27, 62, 27, 90
1.8494, 27, 90, 27, 90
1.9265, 27, 90, 27, 90
1.9505, 27, 90, 27, 90
1.9942, 27, 90, 59, 90
2.0035, 27, 90, 59, 90
2.0336, 59, 90, 59, 90
2.0463, 59, 90, 59, 63
2.0713, 59, 90, 59, 63
2.0823, 59, 63, 59, 63
2.1459, 59, 63, 59, 63
2.1689, 59, 63, 59, 63
2.2121, 59, 63, 26, 63
2.2227, 59, 63, 26, 63
2.2642, 26, 63, 26, 63
2.2683, 26, 63, 26, 40
2.3070, 26, 63, 26, 40
2.3180, 26, 40, 26, 40
2.3924, 26, 40, 26, 40
2.4107, 26, 40, 26, 40
2.4574, 26, 40, 26, 40
2.4616, 26, 40, 26, 40
2.4795, 26, 40, 26, 40
2.5058, 26, 40, 26, 72
2.5167, 26, 40, 26, 72
2.5211, 26, 72, 26, 72
2.5748, 26, 72, 26, 72
2.5946, 26, 72, 26, 72
2.6700, 26, 72, 36, 72
2.6812, 26, 72, 36, 72
2.7171, 36, 72, 36, 72
2.7187, 36, 72, 36, 11
2.7561, 36, 72, 36, 11
2.7665, 36, 11, 36, 11
2.8224, 36, 11, 36, 11
2.8479, 36, 11, 36, 11
2.9091, 36, 11, 68, 11
2.9132, 36, 11, 68, 11
2.9245, 68, 11, 68, 11
2.9508, 68, 11, 68, 67
2.9613, 68, 11, 68, 67
2.9716, 68, 67, 68, 67
3.0273, 68, 67, 68, 67
3.0520, 68, 67, 68, 67
3.1008, 68, 67, 29, 67
3.1110, 68, 67, 29, 67
3.1391, 29, 67, 29, 67
3.1454, 29, 67, 29, 82
3.1795, 29, 67, 29, 82
3.1901, 29, 82, 29, 82
3.2472, 29, 82, 29, 82
3.2712, 29, 82, 29, 82
3.3151, 29, 82, 30, 82
3.3243, 29, 82, 30, 82
3.3555, 30, 82, 30, 82
3.3588, 30, 82, 30, 62
3.3956, 30, 82, 30, 62
3.4061, 30, 62, 30, 62
3.4624, 30, 62, 30, 62
3.4867, 30, 62, 30, 62
3.5323, 30, 62, 23, 62
3.5415, 30, 62, 23, 62
3.5712, 23, 62, 23, 62
3.5760, 23, 62, 23, 67
3.6112, 23, 62, 23, 67
3.6216, 23, 67, 23, 67
3.6779, 23, 67, 23, 67
3.7022, 23, 67, 23, 67
3.7482, 23, 67, 35, 67
3.7575, 23, 67, 35, 67
3.7883, 35, 67, 35, 67
3.7919, 35, 67, 35, 29
3.8270, 35, 67, 35, 29
3.8374, 35, 29, 35, 29
3.8938, 35, 29, 35, 29
3.9195, 35, 29, 35, 29
3.9657, 35, 29, 2, 29
3.9763, 35, 29, 2, 29
4.0104, 35, 29, 2, 22
4.0171, 2, 29, 2, 22
4.0573, 2, 29, 2, 22
4.0677, 2, 22, 2, 22
4.1247, 2, 22, 2, 22
4.1472, 2, 22, 2, 22
4.1914, 2, 22, 58, 22
4.2006, 2, 22, 58, 22
4.2312, 58, 22, 58, 22
4.2347, 58, 22, 58, 69
4.2721, 58, 22, 58, 69
4.2827, 58, 69, 58, 69
4.3393, 58, 69, 58, 69
4.3740, 58, 69, 58, 69
4.5201, 58, 69, 67, 69
4.5244, 58, 69, 67, 69
4.5350, 67, 69, 67, 69
4.5621, 67, 69, 67, 93
4.5719, 67, 69, 67, 93
4.5822, 67, 93, 67, 93
4.6388, 67, 93, 67, 93
4.6629, 67, 93, 67, 93
4.7079, 67, 93, 56, 93
4.7173, 67, 93, 56, 93
4.7493, 56, 93, 56, 93
4.7518, 56, 93, 56, 11
4.7877, 56, 93, 56, 11
4.7981, 56, 11, 56, 11
4.8677, 56, 11, 56, 11
4.9378, 56, 11, 56, 11
4.9615, 56, 11, 42, 11
4.9721, 56, 11, 42, 11
4.9942, 56, 11, 42, 29
5.0222, 42, 11, 42, 29
5.0413, 42, 11, 42, 29
5.0526, 42, 29, 42, 29
5.1083, 42, 29, 42, 29
