Time, consumer_reader_ch1, consumer_reader_ch2, producer_writer_ch1, producer_writer_ch2
0.5461, 3083, 0, 0, 0
0.6306, 3083, 0, 37081, 0
0.6421, 3083, 0, 37081, 0
0.6818, 3083, 0, 37081, -1334181888
0.7444, 37081, 0, 37081, -1334181888
0.7946, 37081, 37892, 37081, -1334181888
0.8070, 37081, -1334181888, 37081, -1334181888
0.8723, 37081, -1334181888, 37081, -1334181888
2.6835, 37081, -1334181888, 37081, -1334181888
2.7114, 37081, -1334181888, 37081, -1334181888
2.7255, 37081, -1334181888, 37081, -1334181888
2.7661, 37081, -1334181888, 37081, -1334181888
2.7934, 37081, -1334181888, 37081, -1334181888
2.8329, 37081, -1334181888, 37081, -1334181888
2.8455, 37081, -1334181888, 37081, -1334181888
2.9132, 37081, -1334181888, 37081, -1334181888
4.0781, 37081, -1334181888, 37081, -1334181888
4.2025, 37081, -1334181888, 37081, -1334181888
4.2136, 37081, -1334181888, 37081, -1334181888
4.2456, 37081, -1334181888, 37081, -1334181888
4.2517, 37081, -1334181888, 37081, -1334181888
4.2868, 37081, -1334181888, 37081, -1334181888
4.2911, 37081, -1334181888, 37081, -1334181888
4.2988, 37081, -1334181888, 37081, -1334181888
5.9826, 37081, -1334181888, 37081, -1334181888
6.4754, 37081, -1334181888, 37081, -1334181888
6.5094, 37081, -1334181888, 37081, -1334181888
6.5856, 37081, -1334181888, 37081, -1334181888
6.6267, 37081, -1334181888, 37081, -1334181888
6.7374, 37081, -1334181888, 37081, -1334181888
6.7490, 37081, -1334181888, 37081, -1334181888
6.7985, 37081, -1334181888, 37081, -1334181888
6.9689, 37081, -1334181888, 37081, -1334181888
7.0424, 37081, -1334181888, 37081, -1334181888
7.0538, 37081, -1334181888, 37081, -1334181888
7.0825, 37081, -1334181888, 37081, -1334181888
7.0930, 37081, -1334181888, 37081, -1334181888
7.1231, 37081, -1334181888, 37081, -1334181888
7.1343, 37081, -1334181888, 37081, -1334181888
7.1992, 37081, -1334181888, 37081, -1334181888
7.8352, 37081, -1334181888, 37081, -1334181888
7.9158, 37081, -1334181888, 37081, -1334181888
7.9268, 37081, -1334181888, 37081, -1334181888
7.9591, 37081, -1334181888, 37081, -1334181888
7.9647, 37081, -1334181888, 37081, -1334181888
7.9962, 37081, -1334181888, 37081, -1334181888
8.0077, 37081, -1334181888, 37081, -1334181888
8.0370, 37081, -1334181888, 37081, -1334181888
8.7205, 37081, -1334181888, 37081, -1334181888
8.7648, 37081, -1334181888, 37081, -1334181888
8.7769, 37081, -1334181888, 37081, -1334181888
8.8204, 37081, -1334181888, 37081, -1334181888
8.8373, 37081, -1334181888, 37081, -1334181888
8.8792, 37081, -1334181888, 37081, -1334181888
8.8911, 37081, -1334181888, 37081, -1334181888
8.9222, 37081, -1334181888, 37081, -1334181888
9.7264, 37081, -1334181888, 37081, -1334181888
9.7307, 37081, -1334181888, 37081, -1334181888
9.7360, 37081, -1334181888, 37081, -1334181888
9.7652, 37081, -1334181888, 37081, -1334181888
9.8040, 37081, -1334181888, 37081, -1334181888
9.8728, 37081, -1334181888, 37081, -1334181888
9.8833, 37081, -1334181888, 37081, -1334181888
9.9076, 37081, -1334181888, 37081, -1334181888
10.6743, 37081, -1334181888, 37081, -1334181888
10.7836, 37081, -1334181888, 37081, -1334181888
10.7950, 37081, -1334181888, 37081, -1334181888
10.8239, 37081, -1334181888, 37081, -1334181888
10.8326, 37081, -1334181888, 37081, -1334181888
10.8627, 37081, -1334181888, 37081, -1334181888
10.8740, 37081, -1334181888, 37081, -1334181888
10.9029, 37081, -1334181888, 37081, -1334181888
11.6319, 37081, -1334181888, 37081, -1334181888
11.7297, 37081, -1334181888, 37081, -1334181888
11.7407, 37081, -1334181888, 37081, -1334181888
11.7656, 37081, -1334181888, 37081, -1334181888
11.7768, 37081, -1334181888, 37081, -1334181888
11.8030, 37081, -1334181888, 37081, -1334181888
11.8145, 37081, -1334181888, 37081, -1334181888
11.8420, 37081, -1334181888, 37081, -1334181888
12.8366, 37081, -1334181888, 37081, -1334181888
12.8811, 37081, -1334181888, 37081, -1334181888
12.8925, 37081, -1334181888, 37081, -1334181888
12.9310, 37081, -1334181888, 37081, -1334181888
12.9581, 37081, -1334181888, 37081, -1334181888
12.9950, 37081, -1334181888, 37081, -1334181888
13.0056, 37081, -1334181888, 37081, -1334181888
13.0348, 37081, -1334181888, 37081, -1334181888
13.7488, 37081, -1334181888, 37081, -1334181888
13.8285, 37081, -1334181888, 37081, -1334181888
13.8396, 37081, -1334181888, 37081, -1334181888
13.8928, 37081, -1334181888, 37081, -1334181888
13.8959, 37081, -1334181888, 37081, -1334181888
13.9313, 37081, -1334181888, 37081, -1334181888
13.9421, 37081, -1334181888, 37081, -1334181888
13.9866, 37081, -1334181888, 37081, -1334181888
14.6834, 37081, -1334181888, 37081, -1334181888
14.7112, 37081, -1334181888, 37081, -1334181888
14.7221, 37081, -1334181888, 37081, -1334181888
14.7590, 37081, -1334181888, 37081, -1334181888
14.7883, 37081, -1334181888, 37081, -1334181888
14.8325, 37081, -1334181888, 37081, -1334181888
14.8439, 37081, -1334181888, 37081, -1334181888
14.8725, 37081, -1334181888, 37081, -1334181888
15.6430, 37081, -1334181888, 37081, -1334181888
15.7068, 37081, -1334181888, 37081, -1334181888
