Time, r_SP, r_MV, w_output, w_y, r_u, w_output
0.2754,0,0,0,0,0,0
0.2829,0,0,0,0,0,0
0.2935,0,0,0,0,0,0
0.3064,0,0,0,0,0,0
0.3373,0,0,0,0,0,0
0.3491,0,0,0,0,0,0
0.3511,0,0,0,0,0,0
0.4053,0,0,0,0,0,0
0.41,0,0,0,0,0,0
0.4997,0,0,0,0,0,0
0.5119,0,0,0,0,0,0
0.5379,0,0,0,0,0,0
0.6317,0,0,0,0,0,0
0.6486,0,0,0,0,0,0
0.7253,0,0,0,0,0,0
0.7362,0,0,0,0,0,0
0.762,0,0,0,0,0,0
0.7683,0,0,0,0,0,0
0.7718,0,0,0,0,0,0
0.7734,0,0,0,0,0,0
0.7993,0,0,0,0,0,0
0.8864,0,0,0,0,0,0
0.8976,0,0,0,0,0,0
0.9234,0,0,0,0,0,0
1.0291,0,0,0,0,0,0
1.1182,0,0,0,0,0,0
1.1686,0,0,0,0,0,0
1.1789,0,0,0,0,0,0
1.2101,0,0,0,0,0,0
1.2201,0,0,0,0,0,0
1.2609,0,0,0,0,0,0
1.3013,0,0,0,0,0,0
1.3324,0,0,0,0,0,0
1.3702,0,0,0,0,0,0
1.3964,0,0,0,0,0,0
1.412,0,0,0,0,0,0
1.5263,0,0,0,0,0,0
1.5316,0,0,0,0,0,0
1.577,0,0,0,0,0,0
1.5874,0,0,0,0,0,0
1.6319,0,0,0,0,0,0
1.6446,0,0,0,0,0,0
1.6564,0,0,0,0,0,0
1.6738,0,0,0,0,0,0
1.6785,0,0,0,0,0,0
1.8035,0,0,0,0,0,0
1.8151,0,0,0,0,0,0
1.8407,0,0,0,0,0,0
1.9711,0,0,0,0,0,0
2.0265,0,0,0,0,0,0
2.0398,0,0,0,0,0,0
2.0688,0,0,0,0,0,0
2.1633,0,0,0,0,0,0
2.1639,0,0,0,0,0,0
2.1671,0,0,0,0,0,0
2.1787,0,0,0,0,0,0
2.2001,0,0,0,0,0,0
2.286,0,0,0,0,0,0
2.2978,0,0,0,0,0,0
2.3232,0,0,0,0,0,0
2.4412,0,0,0,0,0,0
2.446,0,0,0,0,0,0
2.5379,0,0,0,0,0,0
2.548,0,0,0,0,0,0
2.5789,0,0,0,0,0,0
2.589,0,0,0,0,0,0
2.6301,0,0,0,0,0,0
2.6706,0,0,0,0,0,0
2.703,0,0,0,0,0,0
2.738,0,0,0,0,0,0
2.7486,0,0,0,0,0,0
2.7747,0,0,0,0,0,0
2.8968,0,0,0,0,0,0
2.909,0,0,0,0,0,0
3.0461,0,0,0,0,0,0
3.0585,0,0,0,0,0,0
3.0805,0,0,0,0,0,0
3.0934,0,0,0,0,0,0
3.0941,0,0,0,0,0,0
3.1278,0,0,0,0,0,0
