Time, r_SP, r_MV, w_output, r_u, w_y, w_output
0.2669, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000
0.2935, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000
0.3697, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000
0.3729, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000
0.3759, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000
0.3814, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000
0.3898, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000
0.3946, 0.0000, 0.9970, 0.0000, 0.0000, 1.0000, 0.0000
0.4051, 0.0000, 0.9970, 0.0000, 0.0000, 1.0000, 0.0000
0.4548, 0.0000, 0.9970, 0.0000, 0.0000, 1.0000, 0.0000
0.4754, 0.0000, 0.9970, 0.0000, 0.0000, 0.9970, 0.0000
0.4896, 0.0000, 0.9970, 0.0000, 0.0000, 0.9970, 0.0000
0.6002, 0.0000, 0.9970, 0.0000, 0.0000, 0.9970, 0.0000
0.6081, 0.0000, 0.9970, 0.0000, 0.0000, 0.9970, 0.0000
0.6456, 0.0000, 0.9970, 0.0000, 0.0000, 0.9970, 0.0000
0.6507, 0.0000, 0.9970, 0.0000, 0.0000, 0.9970, 0.0000
0.6562, 0.0000, 0.9970, 0.0000, 0.0000, 0.9970, 0.0000
0.6643, 0.0000, 0.9970, 0.0000, 0.0000, 0.9970, 0.0000
0.7428, 0.0000, 0.9970, 0.0000, 0.0000, 0.9970, 0.0000
0.7480, 0.0000, 0.9970, 0.0000, 0.0000, 0.9970, 0.0000
0.7547, 0.0000, 0.9970, 0.0000, 0.0000, 0.9940, 0.0000
0.7607, 0.0000, 0.9970, 0.0000, 0.0000, 0.9940, 0.0000
0.7957, 0.0000, 0.9970, 0.0000, 0.0000, 0.9940, 0.0000
0.8132, 0.0000, 0.9970, 0.0000, 0.0000, 0.9940, 0.0000
0.9138, 0.0000, 0.9970, 0.0000, 0.0000, 0.9940, 0.0000
0.9413, 0.0000, 0.9970, 0.0000, 0.0000, 0.9940, 0.0000
0.9580, 0.0000, 0.9970, 0.0000, 0.0000, 0.9940, 0.0000
0.9684, 0.0000, 0.9910, 0.0000, 0.0000, 0.9940, 0.0000
0.9736, 0.0000, 0.9910, -0.9970, 0.0000, 0.9940, 0.0000
